,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
56977,2511.2999999999997,2164.0,2323.7999999999997,2191.8999999999996,2100.5,2540.1,2254.2000000000003,2462.4,2051.6000000000004,2445.0,2157.7,2402.2999999999997,2187.3999999999996,2572.7000000000003,2186.0,2392.2,2150.8999999999996,2519.6,2046.6999999999998,1806.9,1831.8999999999996,2174.2000000000003,2626.5,2318.1,2352.5,2123.7,2525.7,2175.2999999999997,2014.7,2061.2000000000003,1751.6000000000004,2331.7,2492.1000000000004,1740.2,2227.8,2871.6,2221.7,2196.0,2122.7,2296.4000000000005,2747.1,2164.3,2519.9,2436.9,2360.3,2215.0,2017.1,2170.6,2210.1000000000004,2168.5,1916.9999999999998,2221.3,2226.0,1925.0,2374.8999999999996,1950.8000000000002,2189.3,1904.3
56969,1824.1,1518.9,1577.6,1253.0,1697.9,1642.8999999999999,1623.6,1474.3000000000002,1239.9,1493.8000000000002,1331.5,1587.8999999999999,1891.4,1553.8000000000002,1518.8000000000002,1291.1,1383.9,1724.0,1462.9,1943.9,1440.0,1408.1000000000001,1801.7,1642.2,1639.0,1324.3999999999999,1670.6000000000001,1497.6999999999998,1206.5,1300.8,1278.2,1762.3,1703.1000000000001,1231.5,1172.1,1696.6,1465.7999999999997,1523.3,1410.2,1271.2,1497.3000000000002,1979.8,1584.8000000000002,2273.8,1227.4,1080.6,1454.6999999999998,1748.1,1418.3000000000002,1876.6,1224.5,1419.9,1536.9,1626.1,1758.7000000000003,1282.9,1466.1999999999998,1486.5
56964,1653.1000000000001,1633.6999999999998,1631.9,1314.0,1430.1,1447.0000000000002,1575.1,1653.6,1640.7,1829.9,1208.7,1802.6,1887.6,1519.1999999999998,1745.1,1173.4,1531.3,1643.5,1576.5,1155.0,1318.1,1202.3,1825.4999999999998,1505.7,1594.7,1794.3,1624.0,1556.1,1309.1999999999998,1117.5,1378.8,1564.2,1739.2,1209.8,1429.7,1722.3,1451.4,1410.4,1548.9,1424.1000000000001,1694.7000000000003,1422.4,1947.7999999999997,1473.1999999999998,1079.9,1302.5,1340.9,1403.3999999999999,1429.9,1569.0000000000002,1515.6,1239.0,1327.3,1146.2,1604.3999999999999,1491.2999999999997,1521.2,1515.3000000000002
56959,1372.5,1216.0,1158.5,985.8000000000002,1252.6999999999998,1264.8999999999999,1282.4,1290.1999999999998,1429.2,1106.6999999999998,1137.5,1435.8,1514.9,1211.8,1362.1999999999998,975.6,948.1,1081.1,1132.8,1287.1999999999998,931.0,1128.0,1358.7,981.1,1140.3,1196.0,1288.6,1113.0,990.3,926.8,1006.9,941.2,1211.7,978.7,978.8999999999999,1158.9,1162.5,1097.6,1085.8,1231.1,1000.5,991.7,1667.8000000000002,1305.9,923.3,1346.7,1271.5,1179.1,1096.8000000000002,1430.1999999999998,1036.1,998.8,1003.8,1174.3000000000002,1348.7,848.6000000000001,1236.8000000000002,972.6999999999999
56954,1783.5,1547.3999999999996,1700.0,1430.5,1668.8,1561.8999999999999,1867.6000000000001,1803.6000000000001,1544.9,2034.5,1439.0,1645.6000000000001,2098.8,1630.2,1769.0,1642.4,1408.3000000000002,1650.2000000000003,1497.1,1355.3000000000002,1524.3000000000002,1306.6000000000001,1769.4,1605.0,2050.8,1696.3,1722.8,1372.6999999999998,1672.8999999999996,1364.8,1514.1000000000001,1605.3,1739.2999999999997,1182.6999999999998,1516.2,1577.6,1460.8999999999999,1519.8,1419.5,1337.5,1752.5000000000005,1634.8,1680.3,1502.7,1551.8,1555.2000000000003,1893.6999999999998,1595.8000000000002,1737.3,1770.4,1482.9,1307.2,1506.7,1547.3,1703.0,1244.9,1919.3,1558.4
56951,1294.7,935.0,1230.9,1062.6,1169.0,1027.7,1291.8,1504.4999999999998,996.9999999999999,1342.7,1002.0,1376.8000000000002,1302.4,1058.1999999999998,1369.6,1134.3,1095.6999999999998,1221.1999999999998,1111.9,1034.5,1035.6,1208.8,1302.6000000000001,1170.4,1358.5,1067.9,1223.1,1193.3,1172.1000000000001,913.2,980.6,1178.4,1197.1000000000001,1037.1,1199.8000000000002,996.6000000000001,1209.6,1187.4,1250.4,1031.3999999999999,1285.3000000000002,1372.6,1368.6000000000001,1054.1,740.3,1192.8,1001.1999999999999,1334.8000000000002,1322.5,1016.3000000000001,917.8,1187.1,1093.8999999999999,865.0000000000001,1158.2,888.6000000000001,1217.0,1308.2
56946,1505.5,1031.5,1381.1000000000001,1194.1999999999998,1311.8,1055.6999999999998,1402.8,1706.2000000000003,1214.6,1507.4,1155.2,1188.1000000000001,1419.8999999999999,1253.6,1431.9,1514.3,1136.9,1255.1000000000001,1471.6,1284.1,1189.0,1251.3000000000002,1432.6,1303.6,1516.6,1354.1,1502.2000000000003,1223.3,1477.6,1207.6,1315.0,1424.3000000000002,1620.6999999999998,1081.5,1205.1,1124.4,1345.8000000000002,1474.1999999999998,1355.8,1154.1,1511.3999999999999,1377.6,1757.1,1045.7,952.3000000000001,1390.4,916.5999999999999,1404.9,1429.1,1332.8,990.8,1239.0,1316.7,1108.8000000000002,1420.2,964.9999999999999,1182.7000000000003,1715.1
56856,1125.0,974.0999999999999,1263.7,1118.6,1240.8000000000002,946.9000000000001,1074.2,1272.9,1242.8,1009.4000000000001,985.0999999999999,1100.7,1193.0,988.0,1322.1,1096.3,1169.2,1065.4,797.3000000000002,1044.0,994.5,1017.6,1288.3,1108.6,1380.3000000000002,1022.1999999999998,1212.5,1091.6,1058.5,809.6,999.5999999999999,1218.6,1413.9,926.0,1106.6999999999998,1257.4,1165.9,1270.5,1222.1999999999998,895.9000000000001,1591.7,1268.1999999999998,1410.5,1123.8,784.0,1120.1,1177.9,1090.6000000000001,1504.2999999999997,1254.6,908.9000000000001,949.0999999999999,967.9,776.0,911.5000000000001,822.7,1066.3,1402.6000000000001
56751,1319.6,650.2,1230.8999999999999,1232.4,814.8000000000001,882.5,1168.1,1348.0,1191.6,1114.0,1052.3999999999999,1411.1,948.8000000000001,969.9000000000001,1337.2,1010.0,951.4000000000001,1040.7,839.3000000000001,1150.0,1312.9,1040.7,742.4,710.6,1094.0,1111.2,1078.9,1321.0,906.4,777.3000000000001,1017.5,1141.5,1254.1999999999998,902.1999999999998,1069.4,963.8000000000001,1227.5,1018.4000000000001,977.9000000000001,1124.8000000000002,1240.0,1292.4,1234.8,1272.5,979.5999999999999,1080.6000000000001,961.2999999999998,695.3000000000001,1166.6,1364.8,1049.0,872.3000000000001,755.4000000000001,859.3,750.8000000000001,812.9,1016.1999999999999,1153.8999999999999
56748,1212.4,792.1999999999999,978.7000000000002,964.5,826.0,730.9,1243.1,956.1,942.4,949.3,894.4,1159.1,1051.8,791.0,1290.4,768.6,939.4000000000001,1132.7,869.7,979.9,1031.8,982.3000000000001,827.5999999999999,961.8,1138.8,987.1,1057.9,934.6999999999998,842.5,764.7,1114.0,917.5000000000001,966.9000000000001,1031.3,1041.0,856.1,1099.8000000000002,988.0,1041.9,830.8000000000001,1129.1,1282.5,1368.3,1009.0999999999999,729.3,1223.6,837.8,916.4,1037.0,966.3000000000002,663.3,1197.6,814.3999999999999,980.8000000000002,758.9,747.2,824.4000000000001,953.0
56651,815.9000000000001,845.4000000000001,852.5999999999999,1005.0,1114.3000000000002,953.1000000000001,1096.8,1098.5,842.5,1058.5,792.9000000000001,905.2,1034.1,845.4000000000001,941.1,944.9000000000001,980.5,758.9,776.2,1175.5,975.4,994.3,901.5,860.9999999999999,648.1,867.9,923.6999999999999,998.2,1090.1,824.2,1137.4999999999998,1133.3,1083.5,789.9000000000001,1102.5,842.8999999999999,995.2,1059.4,800.6,1215.2,1283.4,1063.6,1130.7,1165.4,897.2,1119.3,830.5999999999999,859.4,1054.0,918.5,821.8,989.8000000000001,807.9999999999999,655.1,896.3,917.9,897.3000000000002,966.3
56548,1055.4,701.1,1136.1,1058.1,874.3000000000001,986.3000000000001,825.6,1139.1,868.3,871.6000000000001,720.2,1021.0,855.1,852.6999999999999,1257.5,894.8000000000001,878.6,1012.6,956.0,874.8,887.3,954.8,924.6000000000001,796.3000000000001,951.5999999999999,1130.9,1165.3000000000002,925.0,725.9,1032.8,1021.5000000000001,993.0999999999999,986.8,1136.5,948.1,1038.4,1037.5,920.3,912.6,961.8,790.8000000000001,1155.6000000000001,1012.2,1244.8,910.4,981.5,986.3,733.1000000000001,830.0999999999999,894.0,731.2,1266.8999999999999,888.0,763.6000000000001,803.1,814.6,759.4000000000001,1170.6000000000001
56533,1829.2999999999997,1242.8000000000002,1837.3,1611.4,1485.8,1634.8999999999999,1606.0,1695.7000000000003,1434.0,1462.2,1393.9,2061.8999999999996,1225.6,1706.1,1802.2999999999997,1794.9,1496.7,1694.2,2099.8999999999996,1612.5,1728.8999999999999,2078.3,1684.6999999999998,1789.2,1847.6,1939.1,1753.3000000000002,1669.6,1589.6,2379.4,1918.6000000000001,1755.2,1855.5,2043.1999999999998,1990.2,1667.9,1974.0,1742.8000000000002,1691.0,1766.1,1322.5,2017.2000000000003,1330.6999999999998,1838.9,1484.8000000000002,1945.1,1784.3,1460.5,1759.1999999999998,1696.6,1319.4,2340.0,1329.5,1775.9,1440.4,1344.1,1337.3000000000002,2067.2
56444,805.7,583.8,729.9,728.7,647.6,649.1999999999999,624.8,778.5,570.5,632.1,465.8,773.5,516.4000000000001,533.6,772.5,688.9,652.7,488.1,775.7,706.0,602.7,668.2,443.5,429.70000000000005,373.4,738.2,538.9,549.3,491.7,753.3,742.5999999999999,641.6,585.1999999999999,572.9,492.8,627.4000000000001,746.4000000000001,705.1,733.6,727.3,707.3000000000001,832.3,548.8,910.3,506.09999999999997,688.3,468.8,692.5,837.4,654.4,521.4,937.7,462.4,655.6,612.9,489.4,489.4,737.4000000000001
56137,382.8,474.3,484.6,651.8,431.3,448.70000000000005,604.0999999999999,578.5,349.1,402.4,486.8,554.8,325.90000000000003,455.0,434.90000000000003,457.5000000000001,372.6,441.9,515.9,484.0,463.0,491.0,388.29999999999995,414.5,306.5,357.2,540.4000000000001,397.09999999999997,627.1999999999999,530.5,528.3000000000001,631.3,668.5,288.2,565.7,287.7,527.9000000000001,529.5,415.90000000000003,704.3000000000001,556.9000000000001,530.5,556.7,454.29999999999995,467.9,605.3,481.79999999999995,463.6,413.5,474.40000000000003,391.00000000000006,572.3000000000001,396.09999999999997,244.59999999999997,544.5,-2657.1,499.9,512.7
56125,464.9,515.3,454.8,616.7,581.3,574.9,671.0,498.00000000000006,438.8,392.1,499.4,589.1,512.1999999999999,419.09999999999997,424.0,680.4,551.6,528.1999999999999,510.7,413.4,517.2,671.5999999999999,444.50000000000006,542.0,514.0,513.0999999999999,597.4000000000001,375.3,535.3000000000001,518.4,589.0999999999999,591.8,558.7,555.7,642.5999999999999,384.0,508.2,521.3,370.59999999999997,638.4,517.9,651.9,555.3,433.29999999999995,738.7,491.3,635.0,552.4,575.5999999999999,585.9,562.4,564.1,541.8,682.0,508.79999999999995,553.6,492.7,483.6
56029,426.70000000000005,505.4,570.2,479.59999999999997,550.3000000000001,463.8,476.29999999999995,404.0,499.59999999999997,516.9,380.29999999999995,543.1,424.79999999999995,466.0,481.29999999999995,522.5,491.1,526.0,382.0,441.1,535.4,580.8,615.2,549.1,554.8,321.69999999999993,568.3,376.3,450.9,431.6,638.3,484.79999999999995,491.69999999999993,466.90000000000003,523.4000000000001,424.79999999999995,447.9,420.0,426.59999999999997,549.3,475.5,509.1,491.2,349.6,578.0,437.19999999999993,547.5,398.7,379.1,513.3,604.0,424.09999999999997,540.3,593.7,461.2,633.5,409.0,429.79999999999995
56018,361.9,465.00000000000006,521.5,556.3,613.4,499.4,551.3,417.49999999999994,496.09999999999997,467.2,461.1,555.1,545.4,435.5,486.40000000000003,645.7,589.0,558.0,414.5,521.7,463.79999999999995,626.4,529.5,592.6,669.4,468.90000000000003,693.7,462.4,552.9,571.9,595.1999999999999,523.3000000000001,521.3,411.70000000000005,581.8,441.3999999999999,553.6999999999999,525.9,463.5,602.0,555.8999999999999,558.3,492.5,446.4,594.8,551.2,548.0,447.1,495.5,700.8000000000001,618.8000000000001,455.29999999999995,547.3,604.9000000000001,555.9999999999999,680.5,431.90000000000003,425.9
